Date,NYCA,NYC,LI,G-J
2006-01-31,71.06360826001955,77.89208333333333,90.1311693548387,75.15009408602151
2006-02-28,66.31625811688312,72.22486607142858,93.18342261904762,69.28588169642856
2006-03-31,61.0631182795699,69.33099462365591,83.71802419354839,63.91185483870967
2006-04-30,60.44047414338095,66.2448956884562,87.30143254520168,63.21751043115438
2006-05-31,57.13639051808406,62.23413978494623,75.97524193548388,60.80079637096774
2006-06-30,60.84215782828283,67.67931944444445,85.03418055555555,64.92151736111111
2006-07-31,73.23458455522972,93.5997311827957,118.96678763440859,82.45788306451612
2006-08-31,77.48997556207233,100.24399193548388,120.4384811827957,87.45208333333335
2006-09-30,47.09700378787879,51.24061111111111,59.01125,49.085680555555555
2006-10-31,51.815797437461875,56.15622818791946,62.97829530201343,54.513818791946306
2006-11-30,61.141777777777776,67.55758333333333,78.14544444444445,64.9750138888889
2006-12-31,54.2349132453568,65.17001344086022,78.02422043010752,60.30313508064516
2007-01-31,59.01212976539589,68.38221774193549,81.57853494623656,64.7540557795699
2007-02-28,80.44821022727272,92.40985119047619,114.17142857142856,86.44999255952382
2007-03-31,69.05712100819773,78.51666218034993,86.08542395693136,76.20818304172275
2007-04-30,66.22120075757576,82.4293888888889,85.24672222222222,78.92545833333332
2007-05-31,64.26451001955034,75.51512096774194,94.56861559139786,72.91056787634409
2007-06-30,67.28851641414141,79.97633333333333,87.75790277777779,76.50053125000001
2007-07-31,63.422788367546424,73.87431451612903,75.73861559139785,70.95006048387097
2007-08-31,69.1590481427175,80.52662634408601,82.61743279569893,76.52786290322581
2007-09-30,57.918737373737365,64.24622222222222,69.3208611111111,62.79313194444444
2007-10-31,63.207283724340186,71.09129032258065,79.62825268817204,66.7624193548387
2007-11-30,63.52122557054595,68.22195561719833,75.33850208044383,66.45063453536754
2007-12-31,85.05048753665689,92.31270161290321,112.00905913978495,90.88530577956989
2008-01-31,78.59064516129033,95.19612903225806,107.69412634408602,90.13911962365592
2008-02-29,76.85793103448276,97.71899425287356,99.8717816091954,86.14808548850573
2008-03-31,79.56797748684693,92.5263391655451,99.45126514131897,87.4649596231494
2008-04-30,85.69127020202019,101.6616388888889,103.05068055555556,98.03318055555556
2008-05-31,81.8951600684262,108.05975806451613,113.28682795698924,100.29877688172043
2008-06-30,109.55899368686869,147.32644444444443,141.87602777777778,134.41174652777778
2008-07-31,114.05761363636363,147.7321639784946,144.27030913978496,134.92707661290325
2008-08-31,76.19327346041057,89.48487903225806,93.07623655913979,85.15492271505376
2008-09-30,70.51461237373738,78.57144444444445,89.4913611111111,75.33264930555556
2008-10-31,58.97844086021505,65.45020161290323,74.37892473118279,62.56056787634408
2008-11-30,58.79810364392888,65.5670319001387,65.90879334257974,62.71924063800277
2008-12-31,58.069882697947214,66.09942204301075,64.9517876344086,62.73792338709677
2009-01-31,68.6003848973607,75.21194892473119,81.39740591397849,72.72363239247312
2009-02-28,48.43054247835498,57.265877976190474,56.914702380952384,52.06970982142857
2009-03-31,41.350966597332686,48.68080753701211,50.775733512786005,45.77751009421265
2009-04-30,36.337667929292934,42.37329166666667,44.640708333333336,39.899625
2009-05-31,33.88633919843597,39.758870967741935,45.11448924731183,37.22955309139785
2009-06-30,34.33204545454545,41.18170833333333,43.490375,38.609125
2009-07-31,34.0741935483871,43.94228494623656,45.29544354838709,40.174731182795696
2009-08-31,35.39652370478983,47.00377688172043,44.86587365591398,42.20272177419355
2009-09-30,28.52792424242424,33.135,34.25673611111111,30.890975694444442
2009-10-31,36.30988880742913,41.90801075268817,45.199072580645165,39.91201612903226
2009-11-30,35.31698776951204,38.24456310679612,41.49238557558946,37.38893550624133
2009-12-31,50.41849095796677,56.22680107526882,70.49331989247311,54.25998991935484
2010-01-31,57.48242424242425,65.86231182795699,85.3143817204301,63.44545698924732
2010-02-28,47.45440746753247,55.640327380952385,68.483125,53.12126116071428
2010-03-31,36.87465067906522,42.258815612382236,46.38578734858681,40.42148384925976
2010-04-30,38.37805429292929,43.73630555555555,43.30656944444444,40.932874999999996
2010-05-31,43.15396871945259,49.13869623655914,51.320120967741936,46.77960349462366
2010-06-30,49.15521085858586,58.975138888888885,59.40983333333334,55.31224305555556
2010-07-31,61.77689149560118,74.75583333333333,75.90877688172043,69.32827620967741
2010-08-31,54.402380254154444,62.46677419354839,67.32038978494624,58.660954301075265
2010-09-30,45.01453156565657,49.89540277777778,51.26591666666666,47.99792708333333
2010-10-31,36.132099217986315,39.20114247311828,40.01739247311828,38.18806451612903
2010-11-30,42.77747446728029,45.21808599167823,46.35072122052705,44.89148751733703
2010-12-31,59.886975806451616,71.79264784946237,77.54995967741935,66.89228158602151
2011-01-31,65.15088220918867,78.13418010752689,85.51916666666666,73.54233198924732
2011-02-28,49.837265963203464,60.03816964285714,62.17473214285714,56.11506696428572
2011-03-31,43.05118683469962,50.36325706594886,50.69755047106325,47.362957604306864
2011-04-30,41.850737373737374,51.5075,48.93533333333334,45.31865277777778
2011-05-31,43.08965420332356,48.948991935483875,52.97853494623656,46.51536626344085
2011-06-30,48.4596351010101,57.90504166666666,64.11309722222222,55.63066319444445
2011-07-31,59.29036045943304,68.28805107526881,89.1646370967742,64.10172715053764
2011-08-31,46.5545637829912,52.97313172043011,61.258870967741935,50.242691532258064
2011-09-30,41.340671717171716,45.90054166666667,52.347902777777776,44.61202430555556
2011-10-31,39.223313782991205,42.89861559139785,46.27305107526882,41.35047379032258
2011-11-30,36.12329970999874,38.721081830790574,42.98650485436893,37.31076976421637
