"Eastern Date Hour","Eastern Date Hour Time Zone","Zone Name","Zone PTID","DAM Zonal LBMP","DAM Zonal Losses","DAM Zonal Congestion","DAM Zonal Price Version"
"2023/01/01 04:00:00","EST","HUD VL","61758","28.89","1.07","-11.3","1"
"2023/01/01 04:00:00","EST","LONGIL","61762","34.03","1.8","-15.71","1"
"2023/01/01 04:00:00","EST","MHK VL","61756","18.62","0.33","-1.77","1"
"2023/01/01 04:00:00","EST","MILLWD","61759","29.23","1.19","-11.52","1"
"2023/01/01 04:00:00","EST","N.Y.C.","61761","29.29","1.32","-11.45","1"
"2023/01/01 04:00:00","EST","NORTH","61755","16.19","-0.33","0","1"
"2023/01/01 04:00:00","EST","NPX","61845","31.31","1.01","-13.78","1"
"2023/01/01 04:00:00","EST","O H","61846","17.76","-0.59","-1.83","1"
"2023/01/01 04:00:00","EST","PJM","61847","23.41","0.33","-6.56","1"
"2023/01/01 04:00:00","EST","WEST","61752","18.06","-0.45","-1.98","1"
"2023/01/01 05:00:00","EST","CAPITL","61757","33.58","0.86","-15.19","1"
"2023/01/01 05:00:00","EST","CENTRL","61754","19.41","0.07","-1.81","1"
"2023/01/01 05:00:00","EST","DUNWOD","61760","29.55","1.33","-10.69","1"
"2023/01/01 05:00:00","EST","GENESE","61753","18.82","-0.19","-1.48","1"
"2023/01/01 05:00:00","EST","H Q","61844","17.2","-0.33","0","1"
"2023/01/01 05:00:00","EST","HUD VL","61758","29.23","1.14","-10.56","1"
"2023/01/01 05:00:00","EST","LONGIL","61762","33.48","1.86","-14.09","1"
"2023/01/01 05:00:00","EST","MHK VL","61756","19.59","0.4","-1.66","1"
"2023/01/01 05:00:00","EST","MILLWD","61759","29.55","1.24","-10.77","1"
"2023/01/01 05:00:00","EST","N.Y.C.","61761","29.55","1.32","-10.7","1"
"2023/01/01 05:00:00","EST","NORTH","61755","17.08","-0.46","0","1"
"2023/01/01 05:00:00","EST","NPX","61845","31.51","1.09","-12.89","1"
"2023/01/01 05:00:00","EST","O H","61846","18.7","-0.54","-1.71","1"
"2023/01/01 05:00:00","EST","PJM","61847","24.05","0.39","-6.13","1"
"2023/01/01 05:00:00","EST","WEST","61752","19.01","-0.37","-1.85","1"
"2023/01/01 06:00:00","EST","CAPITL","61757","35.37","1.11","-11.58","1"
"2023/01/01 06:00:00","EST","CENTRL","61754","24.1","0.05","-1.38","1"
"2023/01/01 06:00:00","EST","DUNWOD","61760","32.55","1.72","-8.15","1"
"2023/01/01 06:00:00","EST","GENESE","61753","23.39","-0.41","-1.13","1"
"2023/01/01 06:00:00","EST","H Q","61844","22.27","-0.41","0","1"
"2023/01/01 06:00:00","EST","HUD VL","61758","32.22","1.5","-8.05","1"
"2023/01/01 06:00:00","EST","LONGIL","61762","35.62","2.47","-10.47","1"
"2023/01/01 06:00:00","EST","MHK VL","61756","24.59","0.66","-1.26","1"
"2023/01/01 06:00:00","EST","MILLWD","61759","32.52","1.63","-8.21","1"
"2023/01/01 06:00:00","EST","N.Y.C.","61761","32.53","1.7","-8.16","1"
"2023/01/01 06:00:00","EST","NORTH","61755","22.17","-0.5","0","1"
"2023/01/01 06:00:00","EST","NPX","61845","33.86","1.36","-9.83","1"
"2023/01/01 06:00:00","EST","O H","61846","22.89","-1.09","-1.3","1"
"2023/01/01 06:00:00","EST","PJM","61847","27.69","0.34","-4.68","1"
"2023/01/01 06:00:00","EST","WEST","61752","23.22","-0.86","-1.41","1"
"2023/01/01 07:00:00","EST","CAPITL","61757","36.53","1.06","-14.98","1"
"2023/01/01 07:00:00","EST","CENTRL","61754","22.28","0.02","-1.78","1"
"2023/01/01 07:00:00","EST","DUNWOD","61760","32.64","1.62","-10.55","1"
"2023/01/01 07:00:00","EST","GENESE","61753","21.42","-0.51","-1.46","1"
"2023/01/01 07:00:00","EST","H Q","61844","20.13","-0.35","0","1"
"2023/01/01 07:00:00","EST","HUD VL","61758","32.27","1.37","-10.42","1"
"2023/01/01 07:00:00","EST","LONGIL","61762","40","2.25","-17.27","1"
"2023/01/01 07:00:00","EST","MHK VL","61756","22.75","0.64","-1.63","1"
